Rxn,cytosol,plastid,plasma membrane,mitochondria,peroxisome,vacuole,thylakoid,inner mitochondrial matrix
ADENPRIBOSYLTRAN_RXN,1,1,0,0,0,0,0,0
RXN_14195,1,0,0,0,0,0,0,0
4_2_1_93_RXN,1,0,0,0,0,0,0,0
RXN_11201,1,0,0,0,0,0,0,0
ISOCHORSYN_RXN,1,1,0,0,0,0,0,0
RXN_5121,0,1,0,0,0,0,0,0
CYSPH_RXN,1,1,0,0,0,0,0,0
CYTIDEAM_RXN,1,0,0,0,0,0,0,0
rxn_12243,0,1,0,0,0,0,0,0
rxn_12244,0,1,0,0,0,0,0,0
METHYLENETHFDEHYDROG_NADP_RXN,1,0,0,0,0,0,0,0
PEPSYNTH_RXN,1,1,0,0,0,0,0,0
RXN_14378,0,1,0,0,0,0,0,0
RXN_14372,1,0,0,0,0,0,0,0
RXN_14371,1,0,0,0,0,0,0,0
CARBODEHYDRAT_RXN,1,0,0,0,0,0,0,0
ALLYL_ALCOHOL_DEHYDROGENASE_RXN,0,1,0,0,0,0,0,0
ICOSANOYL_COA_SYNTHASE_RXN,1,0,0,0,0,0,0,0
RXN_13975,1,0,0,0,0,0,0,0
1_14_11_20_RXN,1,0,0,0,0,0,0,0
UDPACYLGLCNACDEACETYL_RXN,1,0,0,1,0,0,0,0
2_CARBOXY_D_ARABINITOL_1_PHOSPHATASE_RXN,1,0,0,0,0,0,0,0
RXN_4505,1,0,0,0,0,0,0,0
RXN_14978,1,0,0,0,0,0,0,0
RXN_13403,1,0,0,0,0,0,0,0
RXN_14971,1,1,0,0,0,0,0,0
TREHALOSEPHOSPHA_RXN,1,0,0,0,0,0,0,0
UGD_RXN,1,0,0,0,0,0,0,0
1_6_5_4_RXN,0,1,0,0,1,0,0,0
RXN_6762,1,0,0,0,0,0,0,0
2_3_1_179_RXN,1,0,0,0,0,0,0,0
RXN_8430,1,0,0,0,0,0,0,0
rxn_12256,0,1,0,0,0,0,0,0
1_14_13_8_RXN,0,1,0,1,0,0,0,0
